x	y
2.629331e-02	3.087347e+00
2.661373e-02	3.075550e+00
2.693806e-02	3.063757e+00
2.726634e-02	3.051968e+00
2.759862e-02	3.040183e+00
2.793495e-02	3.028402e+00
2.827538e-02	3.016625e+00
2.861995e-02	3.004852e+00
2.896873e-02	2.993083e+00
2.932176e-02	2.981318e+00
2.967909e-02	2.969557e+00
3.004077e-02	2.957801e+00
3.040686e-02	2.946049e+00
3.077741e-02	2.934301e+00
3.115248e-02	2.922557e+00
3.153212e-02	2.910818e+00
3.191639e-02	2.899084e+00
3.230534e-02	2.887353e+00
3.269902e-02	2.875628e+00
3.309751e-02	2.863907e+00
3.350085e-02	2.852191e+00
3.390911e-02	2.840480e+00
3.432234e-02	2.828773e+00
3.474061e-02	2.817071e+00
3.516398e-02	2.805375e+00
3.559250e-02	2.793683e+00
3.602625e-02	2.781996e+00
3.646528e-02	2.770314e+00
3.690967e-02	2.758638e+00
3.735947e-02	2.746967e+00
3.781475e-02	2.735301e+00
3.827557e-02	2.723640e+00
3.874202e-02	2.711985e+00
3.921415e-02	2.700335e+00
3.969203e-02	2.688691e+00
4.017574e-02	2.677052e+00
4.066534e-02	2.665419e+00
4.116091e-02	2.653792e+00
4.166251e-02	2.642170e+00
4.217023e-02	2.630555e+00
4.268414e-02	2.618945e+00
4.320431e-02	2.607342e+00
4.373082e-02	2.595744e+00
4.426374e-02	2.584152e+00
4.480316e-02	2.572567e+00
4.534915e-02	2.560988e+00
4.590180e-02	2.549416e+00
4.646118e-02	2.537849e+00
4.702738e-02	2.526290e+00
4.760048e-02	2.514737e+00
4.818056e-02	2.503190e+00
4.876771e-02	2.491651e+00
4.936202e-02	2.480118e+00
4.996357e-02	2.468592e+00
5.057245e-02	2.457073e+00
5.118875e-02	2.445561e+00
5.181256e-02	2.434056e+00
5.244397e-02	2.422559e+00
5.308308e-02	2.411068e+00
5.372998e-02	2.399585e+00
5.438476e-02	2.388110e+00
5.504751e-02	2.376642e+00
5.571835e-02	2.365182e+00
5.639736e-02	2.353729e+00
5.708465e-02	2.342285e+00
5.778031e-02	2.330848e+00
5.848445e-02	2.319419e+00
5.919717e-02	2.307998e+00
5.991857e-02	2.296586e+00
6.064877e-02	2.285182e+00
6.138786e-02	2.273786e+00
6.213596e-02	2.262399e+00
6.289318e-02	2.251020e+00
6.365963e-02	2.239650e+00
6.443542e-02	2.228288e+00
6.522066e-02	2.216936e+00
6.601547e-02	2.205592e+00
6.681996e-02	2.194258e+00
6.763426e-02	2.182933e+00
6.845849e-02	2.171617e+00
6.929276e-02	2.160310e+00
7.013719e-02	2.149013e+00
7.099192e-02	2.137725e+00
7.185706e-02	2.126447e+00
7.273274e-02	2.115179e+00
7.361910e-02	2.103921e+00
7.451626e-02	2.092673e+00
7.542435e-02	2.081435e+00
7.634351e-02	2.070207e+00
7.727387e-02	2.058990e+00
7.821556e-02	2.047783e+00
7.916873e-02	2.036587e+00
8.013352e-02	2.025402e+00
8.111007e-02	2.014227e+00
8.209852e-02	2.003063e+00
8.309901e-02	1.991911e+00
8.411169e-02	1.980770e+00
8.513672e-02	1.969640e+00
8.617423e-02	1.958521e+00
8.722440e-02	1.947414e+00
8.828735e-02	1.936319e+00
8.936327e-02	1.925236e+00
9.045229e-02	1.914164e+00
9.155459e-02	1.903105e+00
9.267031e-02	1.892058e+00
9.379964e-02	1.881024e+00
9.494273e-02	1.870002e+00
9.609974e-02	1.858992e+00
9.727086e-02	1.847996e+00
9.845625e-02	1.837012e+00
9.965609e-02	1.826042e+00
1.008705e-01	1.815084e+00
1.020998e-01	1.804141e+00
1.033440e-01	1.793210e+00
1.046034e-01	1.782294e+00
1.058782e-01	1.771391e+00
1.071685e-01	1.760502e+00
1.084745e-01	1.749627e+00
1.097964e-01	1.738767e+00
1.111344e-01	1.727920e+00
1.124888e-01	1.717089e+00
1.138596e-01	1.706272e+00
1.152472e-01	1.695471e+00
1.166516e-01	1.684684e+00
1.180732e-01	1.673912e+00
1.195121e-01	1.663156e+00
1.209685e-01	1.652416e+00
1.224427e-01	1.641691e+00
1.239348e-01	1.630982e+00
1.254452e-01	1.620289e+00
1.269739e-01	1.609612e+00
1.285213e-01	1.598952e+00
1.300875e-01	1.588309e+00
1.316728e-01	1.577682e+00
1.332774e-01	1.567072e+00
1.349016e-01	1.556479e+00
1.365456e-01	1.545903e+00
1.382096e-01	1.535345e+00
1.398939e-01	1.524805e+00
1.415987e-01	1.514282e+00
1.433243e-01	1.503778e+00
1.450709e-01	1.493292e+00
1.468388e-01	1.482824e+00
1.486283e-01	1.472374e+00
1.504395e-01	1.461944e+00
1.522729e-01	1.451532e+00
1.541285e-01	1.441140e+00
1.560068e-01	1.430767e+00
1.579080e-01	1.420414e+00
1.598323e-01	1.410080e+00
1.617801e-01	1.399767e+00
1.637517e-01	1.389473e+00
1.657472e-01	1.379200e+00
1.677671e-01	1.368948e+00
1.698116e-01	1.358716e+00
1.718810e-01	1.348506e+00
1.739756e-01	1.338317e+00
1.760958e-01	1.328149e+00
1.782417e-01	1.318002e+00
1.804139e-01	1.307878e+00
